# cm メッセージ日本語カタログ（英語原文<TAB>日本語訳、1行1メッセージ）
# 文中の改行・タブは \n・\t で表記する。# 始まりの行はコメント
# ビルド時に埋め込まれ、実行時に --lang=ja / CM_LANG=ja / .cmconfig.yml language: ja で使用される
\n=== Check complete ===\n	\n=== チェック完了 ===\n
\n=== Format check complete ===\n	\n=== フォーマットチェック完了 ===\n
\n=== Format complete ===\n	\n=== フォーマット完了 ===\n
\nrun 'cm help' for usage	\n'cm help' でヘルプを表示
  HIR + MIR lowering: 	  HIR+MIR変換: 
  MIR optimization: 	  MIR最適化: 
  Note: for/while statements are converted to HirLoop\n	  Note: for/while文がHirLoopに変換されています\n
  async function detected: 	  async関数が検出されました: 
  await expression detected (function: 	  await式が検出されました（関数: 
  cache hits: 	  キャッシュヒット: 
  file: 	  ファイル: 
  frontend total: 	  フロントエンド合計: 
  lines: 	  行数: 
  modules: 	  モジュール: 
  parse + type check: 	  パース+型チェック: 
  preprocess: 	  プリプロセス: 
  size: 	  サイズ: 
 (current function return type: 	（現在の関数の戻り値型: 
 (deleted)	 (削除)
 (function: 	 (関数: 
 (use fixed-point arithmetic or a vendor IP via extern struct)\n	（固定小数点で記述するか、ベンダーIPを extern struct で利用してください）\n
 -> falling back to normal path\n	 → 通常パス\n
 -> recompiling\n	 → 再コンパイル\n
 MB\n	MBに達しています\n
 changed)	 変更)
 detected	 検出
 file(s)\n	 ファイル\n
 file(s)):\n	ファイル):\n
 fixed\n	 修正\n
 formatting fix(es)\n	 箇所のフォーマット修正\n
 function(s)\n	 関数\n
 is already used	 は既に使用されています
 is not available in bare-metal environments	 はベアメタル環境では使用できません
 module(s)\n	 モジュール\n
 module(s) recompiled\n	 モジュール再コンパイル\n
 naming convention [L001]	 命名規則に従っていません [L001]
 place(s)\n	 箇所\n
 place(s) formatted\n	 箇所の整形\n
 place(s))\n	 箇所）\n
 submodule(s)\n	 個を連結\n
 submodule(s) detected\n	 個のサブモジュールを検出\n
 test(s) passed\n	 件のテストが成功\n
 to specify the target platform\n\n	 オプションで対象プラットフォームを指定してください\n\n
#[test] function '	#[test] 関数 '
' (current: 	' 向けです（現在: 
' assigns state variable '	' 内で代入した状態変数 '
' cannot be added (size exceeded)	' を追加できません（サイズ超過）
' cannot take parameters	' は引数を取れません
' failed to parse\n	' のパースに失敗しました\n
' generation failed	' の生成に失敗
' has no #[sv::pin] attribute (it will not be included in the .cst)\n	' に #[sv::pin] が指定されていません（.cstに含まれません）\n
' is not a variant of the union	' はユニオンの変種に含まれていません
' is not available in bare-metal environments [B001]\n	' は使用できません [B001]\n
' is not supported (only sv or native/JIT)\n	' のテスト実行は未対応です（sv または native/JIT のみ）\n
' must return void	' の戻り値は void である必要があります
' not found\n	' が見つかりません\n
' uses '	' 内で '
' was not committed\n	' はコミットされませんでした\n
'; 	' を使用しています。
'?' can only be used inside functions returning 	'?' は次を返す関数の中でのみ使用できます: 
'?' can only be used on Result/Option values (target type: 	'?' はResult/Option型の値にのみ使用できます（対象の型: 
'is' can only be used on union-typed values (left-hand type: 	'is' はユニオン型の値にのみ使用できます（左辺の型: 
'{0}' is not a variant of enum '{1}'	'{0}' は enum '{1}' のバリアントではありません
() is not available. 	() は使用できません。
(use a fixed-size array T[N])\n	（固定長配列 T[N] を使用してください）\n
); references, aggregate construction, and format conversion are not synthesizable	）。参照・集約構築・フォーマット変換は合成できません
, warnings: 	, 警告: 
--funroll-loops count must be in the range 1-1024	--funroll-loops の展開回数は1-1024の範囲で指定してください
: exception: 	: 例外: 
: needs formatting (	: 要整形（
: preprocessor error: 	: プリプロセッサエラー: 
: warning: '	: warning: ベアメタル環境では '
; rename them	。別の名前に変更してください
=== Cache statistics ===\n	=== キャッシュ統計 ===\n
=== LLVM IR (after optimization) ===\n	=== LLVM IR (最適化後) ===\n
=== MIR (after optimization) ===	=== MIR (最適化後) ===
=== MIR (before optimization) ===\n	=== MIR (最適化前) ===\n
HIR declarations: 	HIR宣言数: 
JIT execution error (	JIT実行エラー (
JIT execution error: 	JIT実行エラー: 
JavaScript code generation error: 	JavaScript コード生成エラー: 
JavaScript has no heap memory management	JavaScriptにはヒープメモリ管理機能がありません
LLVM code generation error: 	LLVM コード生成エラー: 
MIR functions: 	MIR関数数: 
OS heap memory management	OSヒープメモリ管理
OS standard output	OS標準出力
OS-dependent functionality	OS依存機能
PascalCase or UPPER_SNAKE_CASE	PascalCase または UPPER_SNAKE_CASE
SV hierarchy error: 	sv階層化エラー: 
SV hierarchy: 	sv階層化: 
SystemVerilog code generation error: 	SystemVerilog コード生成エラー: 
[CACHE] module cache save error: 	[CACHE] モジュールキャッシュ保存エラー: 
[CODEGEN] error: 	[CODEGEN] エラー: 
[CODEGEN] section '	[CODEGEN] セクション '
[CODEGEN] warning: generated code exceeds 	[CODEGEN] 警告: 生成コードが
a constant expression is required	定数式が必要です
a semicolon is required after the statement	文の後にセミコロンが必要です
a single-arm match expression can be replaced with if-let	単一アームのmatch式はif-letに置き換えられます
a switch statement requires case or else	switch文内にはcaseまたはelseが必要です
an unnecessary copy of '{0}' can be avoided	'{0}' の不要なコピーを避けられます
bit slices on a scalar bit (width 1) must be [0:0]	スカラーbit（幅1）へのビットスライスは [0:0] のみ有効です
bit-slice ranges must be integer literals (v0.16.0 limitation; e.g. x[7:4])	ビットスライスの範囲は整数リテラルで指定してください（v0.16.0時点の制限。例: x[7:4]）
cache clear error: 	キャッシュクリアエラー: 
cache directory creation error: 	キャッシュディレクトリ作成エラー: 
cache does not exist: 	キャッシュが存在しません: 
cache miss: performing full compilation\n	キャッシュミス: フルコンパイルを実行\n
cache restore failed: 	キャッシュ復元失敗: 
cache save error: 	キャッシュ保存エラー: 
cannot modify '{0}' while it is borrowed	借用中の '{0}' を変更できません
cannot modify through a const pointer	constポインタ経由で変更できません
casting to void* is not available on the JS target	JSターゲットでは void* へのキャストは使用できません
changes detected (	変更検出 (
checking: 	チェック中: 
code after a return statement is unreachable	return文の後のコードは到達不能です
code generation time exceeded the limit	コード生成時間が制限を超過しました
compiling: 	コンパイル中: 
config file: 	設定ファイル: 
consider adding an interface constraint to type parameter '{0}'	型パラメータ '{0}' にインターフェース制約を追加することを検討してください
consider replacing magic number '{0}' with a named constant	マジックナンバー '{0}' を定数に置き換えることを検討してください
consider specifying type arguments explicitly	型引数を明示的に指定することを検討してください
consider using a match expression instead of multiple if-else	複数のif-elseよりもmatch式を使用することを検討してください
consider using a reference instead of a raw pointer	生ポインタよりも参照を使用することを検討してください
consider using an iterator instead of an index-based loop	インデックスベースのループよりイテレータを使用することを検討してください
consider using explicit patterns instead of a wildcard	ワイルドカードの代わりに明示的なパターンを使用することを検討してください
constant name	定数名
converting literal '{0}' to '{1}' may lose precision	リテラル '{0}' を '{1}' に変換すると精度が失われる可能性があります
declarations: 	宣言数: 
defined symbols: 	定義済みシンボル: 
directory: 	ディレクトリ: 
does not follow the 	は 
duplicate else clause	重複するelse節
duplicate match arm: '{0}'	重複するmatchアーム: '{0}'
entries: 	エントリ数: 
enum name	enum名
enum value 	enum値 
enum values require an integer or character literal	enum値には整数リテラルまたは文字リテラルが必要です
enum variant '{0}' is unused	enumバリアント '{0}' は使用されていません
enum variant name	enumバリアント名
error(s)	エラー
error: 	エラー: 
error: JIT compiler is disabled; an LLVM-enabled build is required	エラー: JITコンパイラが無効です。LLVM対応ビルドが必要です。
error: SV test simulation is not supported on Windows\n	エラー: SVテストのシミュレーション実行はWindowsでは未対応です\n
error: async/await is only supported on the JS target	エラー: async/awaitはJSターゲット専用の機能です
error: cannot open file '	エラー: ファイル '
error: cannot open file: 	エラー: ファイルを開けません: 
error: cannot read file: 	エラー: ファイルを読み込めません: 
error: cannot write file: 	エラー: ファイルに書き込めません: 
error: cm run does not support direct execution of --target=sv\n	エラー: cm run は --target=sv の直接実行に未対応です\n
error: cm run does not support direct execution of --target=wasm\n	エラー: cm run は --target=wasm の直接実行に未対応です\n
error: function '	エラー: 関数 '
error: invalid command form\n	エラー: 不正なコマンド形式です\n
error: iverilog / vvp not found (required to run SV tests)\n	エラー: iverilog / vvp が見つかりません（SVテストの実行に必要）\n
error: iverilog compilation failed\n	エラー: iverilog コンパイルに失敗しました\n
error: module '	エラー: モジュール '
error: no #[test] functions found: 	エラー: #[test] 関数が見つかりません: 
error: no .cm files found to check\n	エラー: チェック対象の.cmファイルが見つかりません\n
error: no .cm files found to format\n	エラー: フォーマット対象の.cmファイルが見つかりません\n
error: no command specified\n	エラー: コマンドが指定されていません\n
error: no input file or directory specified\n	エラー: 入力ファイルまたはディレクトリが指定されていません\n
error: no input file specified\n	エラー: 入力ファイルが指定されていません\n
error: node not found (required to run --target=js)\n	エラー: node が見つかりません（--target=js の実行に必要です）\n
error: path does not exist: 	エラー: パスが存在しません: 
error: step() is only available in //! platform: sv tests (test function: 	エラー: step() は //! platform: sv のテストでのみ使用できます（テスト関数: 
error: test execution for platform '	エラー: platform '
error: testbench has not been generated: 	エラー: テストベンチが生成されていません: 
error: the LLVM backend is not enabled\n	エラー: LLVM バックエンドが有効になっていません。\n
error: unknown target '	エラー: 不明なターゲット '
error[JS]: 	エラー[JS]: 
error[SV004]: floating-point types are not supported on the SV target: 	error[SV004]: 浮動小数点型はSVターゲット非対応です: 
error[SV006]: dynamic arrays (slices) are not supported on the SV target: 	error[SV006]: 動的配列（スライス）はSVターゲット非対応です: 
